1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-075,2000,19,13,"1,156",12.8,2,3,5,2,0,0,1,0,2.7,2.7,2.7,5.4,24,34,76,0.16,0.23,0.39,0.16,0.39,0.21,0.21,0.42,0.21,0.42,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,19-237,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
3,Jones El-Abdellaoui,ma MAR,"FW,MF",Celta Vigo,es La Liga,19-358,2006,10,0,222,2.5,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,18,0,35,0.81,0,0.81,0.81,0.81,0.91,0.03,0.94,0.91,0.94,Matches
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-049,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,2,0.4,0.4,0.9,39,79,12,0.19,0,0.19,0,0,0.19,0.04,0.23,0.04,0.08,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32-016,1993,9,6,464,5.2,0,0,0,0,0,0,3,1,0,0,0.5,0.5,12,7,18,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-285,2000,12,7,528,5.9,0,0,0,0,0,0,2,0,0,0,0,0,5,8,5,0,0,0,0,0,0,0,0,0,0,Matches
7,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-171,1999,11,2,306,3.4,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,7,19,36,0,0.29,0.29,0,0.29,0.05,0.17,0.22,0.05,0.22,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-338,1993,16,16,"1,378",15.3,1,0,1,1,0,0,5,0,0.7,0.7,1,1.6,18,78,13,0.07,0,0.07,0.07,0.07,0.04,0.06,0.11,0.04,0.11,Matches
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-283,2003,17,14,"1,338",14.9,2,2,4,2,0,1,3,0,3.8,3,1.6,4.6,55,32,87,0.13,0.13,0.27,0.13,0.27,0.25,0.11,0.36,0.2,0.31,Matches
10,Abner,br BRA,DF,Lyon,fr Ligue 1,25-223,2000,11,11,890,9.9,2,0,2,2,0,0,2,1,1,1,0.4,1.4,18,53,41,0.2,0,0.2,0.2,0.2,0.1,0.04,0.14,0.1,0.14,Matches
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-321,2000,10,2,265,2.9,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,12,6,12,0,0,0,0,0,0.1,0.01,0.11,0.1,0.11,Matches
12,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-301,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,3,11,1,0,0.13,0.13,0,0.13,0.03,0.05,0.08,0.03,0.08,Matches
13,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-253,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0,0.2,1,20,10,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
14,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-331,2003,10,4,288,3.2,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,9,20,0.31,0,0.31,0.31,0.31,0.1,0.05,0.15,0.1,0.15,Matches
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-329,1988,10,10,863,9.6,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.8,6,34,0,0,0.1,0.1,0,0.1,0.04,0.04,0.08,0.04,0.08,Matches
